date,season,ranking,acousticness,danceability,duration,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4/26/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
4/26/2014,0,2,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
4/26/2014,0,3,0.603916,0.553758,224.46621,0.462616,8,0.122817,-7.852,1,0.031792,137.024,4,0.372113
4/26/2014,0,4,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
4/26/2014,0,5,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
4/26/2014,0,6,0.027915,0.848695,264.33392,0.513727,1,0.088131,-6.021,1,0.050392,99.023,4,0.599946
4/26/2014,0,7,0.002081,0.789364,178.99057,0.404708,9,0.094998,-19.159,1,0.295675,100.003,4,0.237538
4/26/2014,0,8,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
4/26/2014,0,9,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
4/26/2014,0,10,0.939019,0.721679,215.09179,0.100491,9,0.089896,-22.641,1,0.127101,129.173,4,0.567324
4/19/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
4/19/2014,0,2,0.603916,0.553758,224.46621,0.462616,8,0.122817,-7.852,1,0.031792,137.024,4,0.372113
4/19/2014,0,3,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
4/19/2014,0,4,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
4/19/2014,0,5,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
4/19/2014,0,6,0.027915,0.848695,264.33392,0.513727,1,0.088131,-6.021,1,0.050392,99.023,4,0.599946
4/19/2014,0,7,0.002081,0.789364,178.99057,0.404708,9,0.094998,-19.159,1,0.295675,100.003,4,0.237538
4/19/2014,0,8,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
4/19/2014,0,9,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
4/19/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
4/12/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
4/12/2014,0,2,0.603916,0.553758,224.46621,0.462616,8,0.122817,-7.852,1,0.031792,137.024,4,0.372113
4/12/2014,0,3,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
4/12/2014,0,4,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
4/12/2014,0,5,0.027915,0.848695,264.33392,0.513727,1,0.088131,-6.021,1,0.050392,99.023,4,0.599946
4/12/2014,0,6,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
4/12/2014,0,7,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
4/12/2014,0,8,0.002081,0.789364,178.99057,0.404708,9,0.094998,-19.159,1,0.295675,100.003,4,0.237538
4/12/2014,0,9,0.939019,0.721679,215.09179,0.100491,9,0.089896,-22.641,1,0.127101,129.173,4,0.567324
4/12/2014,0,10,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
4/5/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
4/5/2014,0,2,0.603916,0.553758,224.46621,0.462616,8,0.122817,-7.852,1,0.031792,137.024,4,0.372113
4/5/2014,0,3,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
4/5/2014,0,4,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
4/5/2014,0,5,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
4/5/2014,0,6,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
4/5/2014,0,7,0.002081,0.789364,178.99057,0.404708,9,0.094998,-19.159,1,0.295675,100.003,4,0.237538
4/5/2014,0,8,0.939019,0.721679,215.09179,0.100491,9,0.089896,-22.641,1,0.127101,129.173,4,0.567324
4/5/2014,0,9,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
4/5/2014,0,10,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/29/2014,0,1,0.968844,0.37922,161.41288,0.149871,7,0.118219,-16.558,1,0.037953,143.444,4,0.098218
3/29/2014,0,2,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
3/29/2014,0,3,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
3/29/2014,0,4,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
3/29/2014,0,5,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/29/2014,0,6,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
3/29/2014,0,7,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
3/29/2014,0,8,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
3/29/2014,0,9,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/29/2014,0,10,0.603916,0.553758,224.46621,0.462616,8,0.122817,-7.852,1,0.031792,137.024,4,0.372113
3/22/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
3/22/2014,0,2,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/22/2014,0,3,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
3/22/2014,0,4,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
3/22/2014,0,5,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
3/22/2014,0,6,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
3/22/2014,0,7,0.603916,0.553758,224.46621,0.462616,8,0.122817,-7.852,1,0.031792,137.024,4,0.372113
3/22/2014,0,8,0.160145,0.76739,235.57288,0.495066,10,0.160852,-7.261,0,0.078891,85.512,4,0.69913
3/22/2014,0,9,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
3/22/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/15/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
3/15/2014,0,2,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
3/15/2014,0,3,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/15/2014,0,4,0.004608,0.450546,229.41556,0.451205,11,0.366434,-12.083,0,0.11354,92.972,4,0.087656
3/15/2014,0,5,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
3/15/2014,0,6,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
3/15/2014,0,7,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
3/15/2014,0,8,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
3/15/2014,0,9,0.160145,0.76739,235.57288,0.495066,10,0.160852,-7.261,0,0.078891,85.512,4,0.69913
3/15/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/8/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
3/8/2014,0,2,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
3/8/2014,0,3,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
3/8/2014,0,4,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/8/2014,0,5,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
3/8/2014,0,6,0.000278,0.601488,249.98558,0.740192,5,0.101102,-6.388,0,0.030261,127.969,4,0.181446
3/8/2014,0,7,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
3/8/2014,0,8,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/8/2014,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
3/8/2014,0,10,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
3/1/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
3/1/2014,0,2,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
3/1/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
3/1/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
3/1/2014,0,5,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
3/1/2014,0,6,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
3/1/2014,0,7,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/1/2014,0,8,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/1/2014,0,9,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
3/1/2014,0,10,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/22/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/22/2014,0,2,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/22/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/22/2014,0,4,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
2/22/2014,0,5,0.090708,0.697646,206.47955,0.755507,11,0.141892,-5.326,0,0.063686,137.932,4,0.818263
2/22/2014,0,6,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/22/2014,0,7,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/22/2014,0,8,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/22/2014,0,9,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/22/2014,0,10,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/15/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/15/2014,0,2,0.090708,0.697646,206.47955,0.755507,11,0.141892,-5.326,0,0.063686,137.932,4,0.818263
2/15/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/15/2014,0,4,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/15/2014,0,5,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
2/15/2014,0,6,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/15/2014,0,7,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/15/2014,0,8,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/15/2014,0,9,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/15/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/8/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/8/2014,0,2,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/8/2014,0,3,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/8/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/8/2014,0,5,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/8/2014,0,6,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/8/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/8/2014,0,8,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
2/8/2014,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/8/2014,0,10,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
2/1/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/1/2014,0,2,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/1/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/1/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/1/2014,0,5,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/1/2014,0,6,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/1/2014,0,7,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/1/2014,0,8,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/1/2014,0,9,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
2/1/2014,0,10,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
1/25/2014,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/25/2014,0,2,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/25/2014,0,3,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/25/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
1/25/2014,0,5,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
1/25/2014,0,6,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/25/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/25/2014,0,8,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/25/2014,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
1/25/2014,0,10,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/18/2014,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/18/2014,0,2,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/18/2014,0,3,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/18/2014,0,4,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/18/2014,0,5,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
1/18/2014,0,6,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/18/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/18/2014,0,8,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/18/2014,0,9,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
1/18/2014,0,10,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
1/11/2014,0,1,0.110627,0.577656,277.91955,0.623461,0,0.194966,-6.526,1,0.031594,119.762,4,0.200785
1/11/2014,0,2,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/11/2014,0,3,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/11/2014,0,4,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/11/2014,0,5,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/11/2014,0,6,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/11/2014,0,7,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/11/2014,0,8,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
1/11/2014,0,9,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
1/11/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/4/2014,0,1,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/4/2014,0,2,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/4/2014,0,3,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/4/2014,0,4,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/4/2014,0,5,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/4/2014,0,6,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
